loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,2,2,10,0,326.03,1.29,12.1,1.08,6165.6,19.4,Msini,0.231,0,4742,100,-100,19,2.7,-0.35,2.31,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8,8,10,0,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,0.08,0,4213,46,-46,29.79,2.78,-0.02,1.93,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216
3,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,0,0,4813,20,-20,11,2.2,-0.24,2.63,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781
4,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,1773.40002,2.93,12.9,1.15,1481.0878,4.66,Msini,0.37,0,5338,25,-25,0.93,0.9,0.41,4.45,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,0.68,0,5750,8,-8,1.13,1.08,0.06,4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428
6,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,35,3,34,0,578.38,1.45,12.9,1.15,1373.01872,4.32,Msini,0.06,0,4157,11,-10,25.92,1.22,-0.01,1.7,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,5.22606,2.094,4.75429
7,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,993.3,2.6,12.5,1.11,3273.5,10.3,Msini,0.08,0,4979,18,-18,8.5,2.3,-0.052,2.82,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,8,5,5,0,,330,18.647,1.664,3000,8,Mass,,0,4060,300,-200,1.31,0.85,,4,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,12.618,8.916,12.0572
9,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.042,0,4893,15,-15,10.64,0.99,-0.77,2.42,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339
10,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,452.8,1.333,13.4,1.19,632.46,1.99,Msini,0.09,0,5098,44,-44,4.9,1.54,-0.03,3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
11,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,883,2.08,13.9,1.24,273.32,0.86,Msini,0.29,0,5098,44,-44,4.9,1.54,-0.03,3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
12,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),10,10,1,0,,118,13,1.16,1271.31363,4,Mass,,0,3100,100,-100,0.84,0.17,0.01,4.5,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,16.186,10.386,14.3374
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,37,8,7,0,,84,12.3,1.1,4131.79,13,Mass,,0,,,,,0.19,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2,15.788,9.237001,
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,182,8,8,0,,52,11.209,1,7786.5,24.5,Mass,,0,3530,50,-50,0.37,0.4,,4.86,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,14.244,9.198,12.9025
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,5,1,1,0,,156,16.141,1.44,4417.837,13.9,Mass,,0,3064,76,-76,0.28,0.11,,4.59,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,,10.404,15.0123
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,6,6,2,0,,15,12.6,1.13,2383.6,7.5,Mass,,0,2936,182,-182,0.23,0.02,,5.01,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987,,13.161,18.9668
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,37,8,7,0,,55,12.9,1.15,1589.15,5,Mass,,0,2825,157,-157,0.22,0.02,,5.03,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,20.15,11.945,17.4076
19,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,182,8,8,0,7336.5,,10.31,0.92,6657.48,20.95,Mass,0.26,0,2300,80,-80,0.12,0.08,,5.22,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,33.1156898,,11.826,17.3961
20,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,182,8,8,0,,230,12.3,1.1,3972.875,12.5,Mass,,0,4045,35,-35,0.64,0.6,,4.62,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,12.368,9.148,11.9484
21,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8,8,10,0,335.10001,0.99,12.3,1.1,4392.4106,13.82,Msini,0.29,0,6331,61,-61,1.41,1.93,0.19,4.43,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209,5.822,6.96085
22,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8,8,10,0,269.3,0.87,12.7,1.13,2256.5,7.1,Msini,0.432,0,4415,70,-70,18.11,1.23,-0.25,1.8,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801,1.734,4.23773
23,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8,8,10,0,479.1,1.19,13,1.16,1233.13,3.88,Msini,0.38,0,4200,70,-70,22.03,0.98,-0.46,1.71,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,4.8262,2.085,4.43216
24,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,1078,2.1,13.2,1.18,804.08,2.53,Msini,0.032,0,5872,92.94,-113.53,1.21,1.06,0.04,4.3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837
25,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,2391,3.6,14.2,1.27,171.621,0.54,Msini,0.098,0,5872,92.94,-113.53,1.21,1.06,0.04,4.3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837
26,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,14002,11.6,13.5,1.2,521.22,1.64,Msini,0.16,0,5872,92.94,-113.53,1.21,1.06,0.04,4.3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837
27,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,8,3,2,0,11688,13.2,13.4,1.19,635.66,2,Mass,0.45,0,7295,120.09,-98.99,1.49,1.75,-0.027,4.31,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,5.21149,4.537,5.15806
28,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,64,64,17,0,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.013,0,5758,101.62,-119.62,1.18,1.03,0.18,4.31,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,5.45309,3.911,5.28647
29,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0,0,5172,18,-18,0.94,0.91,0.35,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
30,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,44.3989,0.2373,8.51,0.76,54.4738,0.1714,Mass,0.03,0,5172,18,-18,0.94,0.91,0.35,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
31,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,5574.2,5.957,13,1.16,1232.493,3.878,Mass,0.13,0,5172,18,-18,0.94,0.91,0.35,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
32,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,0.05,0,5172,18,-18,0.94,0.91,0.35,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
33,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,259.88,0.7708,7.59,0.677,44.812,0.141,Mass,0.08,0,5172,18,-18,0.94,0.91,0.35,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
34,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,934.3,2.11,13.4,1.19,638.8383,2.01,Msini,0.073,0,4938,,,5.2,1.44,-0.13,3.19,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,5.87307,3.701,5.60686
35,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,0.12,0,5577,33,-33,0.96,0.94,-0.01,4.34,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052
36,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,0.14,0,5577,33,-33,0.96,0.94,-0.01,4.34,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052
37,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.35,0,5577,33,-33,0.96,0.94,-0.01,4.34,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052
38,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,37,37,37,0,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),0.06,0,4826,45,-55,4.87,1.34,0.21,3.19,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,1.564,3.67853
39,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,996,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.08,0,4826,45,-55,4.87,1.34,0.21,3.19,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,1.564,3.67853
40,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,0.3988,0,5495,,,1.89,1.09,-0.09,3.95,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,4.96808,3.5,4.76178
41,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,691.9,2.1,13.1,1.17,953.49,3,Msini,0.117,0,4846,18,-18,10.5,2.49,0,2.63,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532,3.207,5.09343
42,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,19,19,19,0,93.4,0.49,13.6,1.22,416.3573,1.31,Msini,0.06,0,4847,7,-7,10.3,1.44,-0.03,2.57,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,6.83295,4.515,6.55896
43,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,952.7,2.5,12.8,1.14,1684.4,5.3,Msini,0.206,0,4785,25,-25,11,2.4,-0.06,2.35,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,5.64307,3.266,5.37588
44,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,35,4,34,0,181.4,0.7,13.1,1.17,1017,3.2,Msini,0.027,0,4665,18,-18,11,1.4,-0.03,2.52,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,4.23946,1.597,3.95311
45,AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,8.2 m Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,10,10,1,0,,93.9,12.5,1.12,2860.45566,9,Mass,0.4,0,9770,100,-100,2.96,2.4,,3.77,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.127,7.076,4.23,7.07854
46,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,37,8,7,0,,260,12.3,1.1,4290.5,13.5,Mass,,0,5285,10,-9,1,0.9,0.04,4.53,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,9.13,6.981,8.8378
47,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,205,205,205,0,8.463,0.0645,4.07,0.363,17,0.05349,Mass,0,0,3700,100,-100,0.75,0.5,,4.39,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81,4.529,7.84038
48,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,205,205,205,0,18.859019,0.1101,3.24,0.289,13.6,0.04279,Mass,0,0,3700,100,-100,0.75,0.5,,4.57,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81,4.529,7.84038
49,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,481.9,1.3,12.7,1.13,2034.112,6.4,Msini,0.2,0,4095,20,-20,32.35,1.14,-0.71,1.89,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,9.577,6.021,8.9977
50,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,268.94,0.78,13.8,1.23,330.5432,1.04,Msini,0.29,0,4864,101,-101,0.86,0.49,0.17,4.26,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,9.78,7.336,9.35108
51,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,24,24,23,0,153.22,0.576,13.8,1.23,337.21763,1.061,Msini,0.001,0,4649,30,-30,8.95,1.08,-0.22,2.61,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,10.41,7.718,9.9918
52,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,137.48,0.539,13.7,1.23,352.78,1.11,Msini,0.26,0,4796,117,-117,14.7,1.1,0.28,2.8,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,9.01,6.525,8.7178
53,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,379.63,1.05,11.6,1.03,,55.59,Msini,0.15,0,4259,64,-64,71.02,10.83,-0.79,1.77,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743,6.42,9.22684
54,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,621.99,2.01,12.4,1.1,3963.17,12.47,Msini,0.18,0,4137,10,-10,49,2.8,-1,1.51,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743,6.42,9.22684
55,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,578.2,1.3,13,1.16,1334.886,4.2,Msini,0.21,0,4296,10,-10,17.3,0.8,-0.46,1.99,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,9.367,6.169,8.91613
56,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0.95 m Kepler Telescope,Kepler CCD Array,537,3245,3245,0,41.6855,0.241,2.578,0.23,22.2481,0.07,Mass,0,0,5766,99,-99,1.08,1.67,-0.15,4.5,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,10.849,9.368,10.8644
57,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,64,64,45,0,307.88,0.83,13.6,1.21,432.24663,1.36,Msini,0.12,0,5004,50,-50,0.81,0.81,-0.09,4.22,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,9.67,7.557,9.41266
58,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,392.6,1,13.9,1.24,289.2253,0.91,Msini,0.2,0,4414,15,-15,11,0.74,-0.2,2.24,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,9.139,5.904,8.65569
59,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,733,1.7,13.5,1.2,540.311,1.7,Msini,0.76,0,4534,8,-8,10.33,1.09,-0.13,2.48,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,8.69,5.645,8.26449
60,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,29,25,25,0,2590,4.2,13.5,1.21,508.5,1.6,Msini,0.35,0,4943,30,-30,7.6,1.52,-0.19,2.85,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,9.381,6.571,9.02851
61,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,64,64,45,0,265.59,0.78,14,1.25,228.83645,0.72,Msini,0.27,0,5012,78,-78,0.9,0.91,0.18,4.09,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,9.38,7.331,9.15305
62,BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,HgCdTe and Si:As 1K Infrared Detectors,1,1,1,0,,1662,14.684,1.31,4767.4261,15,Mass,,0,4993,124,-124,0.8,1,,4.55,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,9.374,7.288,9.17439
63,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,64,64,45,0,1198.48,2.06,13,1.16,1258.60049,3.96,Msini,0.88,0,5000,53,-53,0.8,0.82,-0.09,4.2,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,8.96,6.78,8.705
64,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,64,64,45,0,723.2,1.48,12,1.07,7961.6016,25.05,Msini,0.39,0,5040,112,-112,0.84,0.81,-0.14,4.25,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402,9.01,6.996,8.78101
65,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,3.8728,0.0428,2.85,0.254,8.5,0.027,Msini,0,0,4324,100,-100,0.69,0.7,-0.14,4.74,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7,6.305,9.10677
66,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,125.94,0.435,8.38,0.747,53,0.17,Msini,0.31,0,4324,100,-100,0.69,0.7,-0.14,4.74,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7,6.305,9.10677
67,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,5.6,0.06,3.61,0.322,12.7132,0.04,Msini,0.15,0,4816,114,-114,0.71,0.5,-0.06,4.43,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,7.323,9.50331
68,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,237.6,0.68,12.5,1.11,104,0.33,Msini,0.19,0,4746,63,-63,0.72,0.74,-0.07,4.13,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,7.323,9.50331
69,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,3.48777,0.04,14.1,1.26,187.5197,0.59,Msini,0.02,0,5393,44,-44,0.91,1.47,0.38,4.69,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,10.013,8.124,9.83981
70,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,1634,2.36,14.1,1.25,206.5895,0.65,Msini,0.05,0,4550,110,-110,0.64,0.65,-0.35,4.64,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03,6.867,9.48511
71,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,24,24,23,0,74.2,0.3,4.04,0.36,15.37,0.04836,Msini,0.4,0,4550,110,-110,0.64,0.65,-0.35,4.64,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03,6.867,9.48511
72,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,263,53,53,0,714.29999,1.66,12.5,1.11,3108.3774,9.78,Msini,0.21,0,4545,71,-71,19.17,2.12,-0.08,2.2,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,10.038,7.151,9.69971
73,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,263,200,200,0,655.6,1.34,12.8,1.15,1620.9,5.1,Msini,0.54,0,4714,93,-93,0.69,0.74,-0.03,4.26,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,9.62,6.914,9.20112
74,CD Cet b,CD Cet,1,1,Radial Velocity,2020,Calar Alto Observatory,3.5 m telescope,CARMENES,15,15,15,0,2.2907,0.0185,1.82,0.162,3.95,0.01243,Msini,,0,3130,51,-51,0.17,0.16,0.13,4.93,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.60715,13.95,7.833,12.1232
75,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,182,8,8,0,10037.5,2.6,12.4,1.11,3337.1,10.5,Mass,,0,580.5,24.5,-24.5,,0.02,,4.72,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1,,,
